no;km;parcours
126;81;MONTAUBAN - D28 - ROMILLE - à droite D21 (direction St Gilles) – au 1er carrefour, à gauche D31 (direction Parthenay de Bretagne) - à gauche au stop D231 - traverser D28 - VC - D80 - LANGAN - D80 - ST GONDRAN - D80 - D795 - HEDE - D87 - BAZOUGES S/S HEDE - D87 - à gauche D82 - DINGÉ - à gauche D20 - TINTENIAC - à gauche à l'entrée du bourg D81 - ST BRIEUC DES IFFS - D81 - à droite D221 - LES IFFS - VC - D79 - CARDROC - à droite D220 - à droite D27 et à gauche D220 - MINIAC S/S BECHEREL - D220 - traverser D70 et D71 - D220 (direction Médréac) - en bas de la côte des Rochers, à gauche D62 - LANDUJAN - D71 - MONTAUBAN
127;59;MONTAUBAN - D28 - ROMILLE - à droite D21 (direction St Gilles) – au 1 er carrefour, à gauche D31 (direction Parthenay de Bretagne) - à gauche au stop D231 - traverser D28 - VC - D80 - LANGAN - D80 - ST GONDRAN - D80 (direction Hédé) - à gauche D221 - ST SYMPHORIEN - D221 - ST BRIEUC DES IFFS – à gauche D81 - à droite D221 - LES IFFS - VC - D79 - CARDROC - à droite D220 - à droite D27 et à gauche D220 - MINIAC S/S BECHEREL - D220 – traverser D70 et D71 - D220 (direction Médréac) - en bas de la côte des Rochers, à gauche D62 - LANDUJAN - D71 - MONTAUBAN
128;43;MONTAUBAN - D28 - ROMILLE - D25 - LANGAN - à gauche VC (direction Irodouër) - D221 (direction Irodouër) - à droite D68 - MINIAC S/S BECHEREL – à gauche D220 - traverser D70 et D71 - D220 (direction Médréac) - en bas de la côte des Rochers, à gauche D62 - LANDUJAN - D71 - MONTAUBAN
131;81;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/MEU – D66 (direction Illifaut) – 1ère à droite VC (direction Trémorel) – traverser D764 – TREMOREL – D52 (direction Lanrelas) – Les Treize Chênes – à gauche D76 – ST LAUNEUC – D 6 (direction St Vran) – 2ème à droite D16 – MERILLAC – D16 – EREAC – D46 – LANRELAS – D46 – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – à gauche D220 – MEDREAC – D61 – MONTAUBAN
132;60;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/MEU – D66 (direction Illifaut) – 1ère à droite VC (direction Trémorel) – traverser D764 – TREMOREL – D52 (direction Lanrelas) – Les Treize Chênes – tout droit D52 – LANRELAS – D46 – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – à gauche D220 – MEDREAC – D61 – MONTAUBAN
133;47;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D125 – D19 – PLUMAUGAT – D46 (direction Caulnes) – à droite D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – à gauche D220 – MEDREAC – D61 – MONTAUBAN
136;81;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC - D59 - D712 - ST JOUAN DE L'ISLE - D712 – à gauche D46 - PLUMAUGAT - D46 - LANRELAS - D46 - EREAC - D16 - MERILLAC - D16 (direction St Vran) - à gauche D76 - ST LAUNEUC - tout droit D76 - Les Treize Chênes - à droite D52 - TREMOREL – à droite à l’èglise et 1ère à gauche – VC (direction Le Loscouët) – traverser D764 – VC (direction Les Buissonnets) – à droite VC (direction Gaël) – à gauche D66 - LE LOSCOUET/MEU - D66 – D125 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
137;60;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC – D59 - D712 - S T JOUAN DE L'ISLE - D712 – à gauche D46 - PLUMAUGAT - D46 - LANRELAS - D52 - Les Treize Chênes - D52 - TREMOREL – à droite à l’èglise et 1ère à gauche – VC (direction Le Loscouët) – traverser D764 – VC (direction Les Buissonnets) – à droite VC (direction Gaël) - à gauche D66 - LE LOSCOUET/MEU - D66 – D125 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
138;47;MONTAUBAN - D61 - MEDREAC - D220 - QUEDILLAC – D59 - D712 - S T JOUAN DE L'ISLE - D712 – à gauche D46 - PLUMAUGAT - D19 – D125 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
141;89;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – D89 – D39 – YVIGNAC – D793 (direction Dinan) – BRUSVILY – D793 (direction Dinan) – à droite VC (direction Bobital) – à droite D78 – BOBITAL – à droite dans le bourg D78 – traverser D766 et D766b – LE HINGLE LES GRANITS – 1ère à droite après le bourg VC (direction Terrain des sports) – La Guérardais – LE HINGLE – D78 – TREVRON – D78 – à gauche D12 (direction Dinan) – 1ére à droite D78 – à droite D26 – 1ère à gauche D78 – EVRAN – D78 – D11 – TREVERIEN – D11 – S T DOMINEUC – D13 – LA CHLLE AUX FILTZMEENS – à droite D81 – QUEBRIAC – D81 – TINTENIAC – D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
142;70;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – D89 – D39 – YVIGNAC – D793 (direction Dinan) – BRUSVILY – D793 (direction Dinan) – àdroite VC (direction Bobital) – à droite D78 – BOBITAL – à droite dans le bourg D78 – traverser D766 et D766b – LE HINGLE LES GRANITS – 1ère à droite après le bourg VC (direction Terrain des sports) – La Guérardais – LE HINGLE – D78 – TREVRON – D78 – à gauche D12 (direction Dinan) – 1ére à droite D78 (direction Evran) – à droite D26 (direction Le Quiou) – ST ANDRE DES EAUX – à droite D64 – ST JUVAT – D12 – TREFUMEL – D12 – PLOUASNE – D12 – ST PERN – D62 – LANDUJAN – D71 – MONTAUBAN
143;48;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – D89 (direction Yvignac) - 2ème à droite après route de Tréfumel, 1 km avant La Croix Guessant (direction « Tessier Viandes ») – traverser D766 – D90 – PLUMAUDAN – à droite D64 (direction St Juvat) – traverser D766 – D64 – ST JUVAT – D12 – TREFUMEL – D12 – PLOUASNE – D12 – ST PERN – D62 – LANDUJAN – D71 – MONTAUBAN
146;89;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - à gauche D81 - QUEBRIAC - D81 - LA CHAPELLE AUX FILZTMEENS - à gauche D13 - ST DOMINEUC – D13 – 1ère à droite D11 - TREVERIEN - D11 - D78 - EVRAN – à droite D2 puis à gauche D78 (direction Trévron/Le Hinglé) - à droite D26 et 1ère à gauche D78 (direction Trévron) - à gauche D12 (direction St Juvat) et 1 ère à droite D78 - TREVRON - D78 - LE HINGLE - à droite VC (direction St Carné) - La Guérardais - à gauche D78 - LE HINGLE LES GRANITS - D78 - BOBITAL - à gauche D793 - BRUSVILY - D793 - YVIGNAC - à gauche D39 (direction Guenroc) - à droite D89 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
147;70;MONTAUBAN - D71 - LANDUJAN - D62 - ST PERN - D12 - PLOUASNE - D12 - TREFUMEL - D12 - ST JUVAT – à droite D64 - ST ANDRE DES EAUX - à gauche D26 (direction Dinan) - à gauche D78 (direction Trévron) - à gauche D12 (direction St Juvat) et 1ère à droite D78 - TREVRON - D78 - LE HINGLE - à droite VC (direction St Carné) - La Guérardais - à gauche D78 - LE HINGLE LES GRANITS - D78 - BOBITAL - à gauche D793 - BRUSVILY - D793 - YVIGNAC - à gauche D39 (direction Guenroc) - à droite D89 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
148;48;MONTAUBAN - D71 - LANDUJAN - D62 - ST PERN - D12 - PLOUASNE - D12 - TREFUMEL - D12 - ST JUVAT – à gauche D64 - PLUMAUDAN - D90 - traverser D766 - à droite VC - à gauche D89 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
151;78;MONTAUBAN – D28 (direction Romillé) – Tournebride – à gauche D72 – IRODOUËR – à droite après église et 1ère à gauche VC – à droite au château d’eau – La Cocheriais – à gauche D68 – MINIAC S/S BECHEREL – à droite D220 – à droite D27 – à gauche D220 – CARDROC – à gauche D79 – LA BAUSSAINE – D79 – TRIMER – 2ème à gauche VC – à gauche N2137 – ST DOMINEUC – à droite D13 – LA CHLLE AUX FILTZMEENS – à gauche à l’entrée du bourg VC – à gauche D75 – PLEUGUENEUC – D75 – à gauche D2 – EVRAN – 2ème à droite D39 – D26 – LE QUIOU – D39 – TREFUMEL – D12 – PLOUASNE – à droite VC (direction Médréac) – La Croix Frottin – à droite D220 – MEDREAC – D61 – MONTAUBAN
152;59;MONTAUBAN – D28 (direction Romillé) – Tournebride – à gauche D72 – IRODOUËR – à droite après église et 1ère à gauche VC – à droite au château d’eau – La Cocheriais – à gauche D68 – MINIAC S/S BECHEREL – à droite D220 – à droite D27 – à gauche D220 – CARDROC – à gauche D79 – LA BAUSSAINE – D79 – TRIMER – 1ère à gauche D79 – Vieux Bourg – 1ère à droite D79 (direction Tréverien) – à gauche D13 (direction Le Quiou) – traverser D2 – D26 – 1ère à gauche VC – PLOUASNE – VC (direction Médréac) – La Croix Frottin – à droite D220 – MEDREAC – D61 – MONTAUBAN
153;42;MONTAUBAN – D28 (direction Romillé) – Tournebride – à gauche D72 – IRODOUËR – à droite après église et 1 ère à gauche VC – à droite au château d’eau – La Cocheriais – à gauche D68 – MINIAC S/S BECHEREL – à gauche D220 – traverser D70 et D71 – D20 – ST PERN – D20 – D12 – PLOUASNE – à gauche VC (direction Médréac) – La Croix Frottin – à droite D220 – MEDREAC – D61 – MONTAUBAN
156;78;MONTAUBAN – D61 – MEDREAC – à droite D220 (direction Bécherel) – à gauche VC (direction Plouasne) – La Croix Frottin – PLOUASNE – à gauche D12 – TREFUMEL – D39 – LE QUIOU – D26 – D39 – EVRAN – à gauche D2 (direction Dinan) – Passer sur canal et 1 ère à droite VC – D75 – PLEUGUENEUC – D75 (direction Lanhélin) – à droite VC – LA CHLLE AUX FILTZMEENS – à droite D13 – ST DOMINEUC – à gauche N2137 (direction Tinténiac) – La Madeleine – à droite VC – TRIMER – D79 – LA BAUSSAINE – D79 – CARDROC – à droite D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à droite VC – La Cocheriais – à gauche au château d’eau – IRODOUËR – à gauche D72 – Tournebride – à droite D28 – MONTAUBAN
157;59;MONTAUBAN – D61 – MEDREAC – à droite D220 (direction Bécherel) – à gauche VC (direction Plouasne) – La Croix Frottin – PLOUASNE - tout droit VC (direction Le Quiou) – laisser la route du Quiou sur la gauche et continuer tout droit – Le Bois Genieul – sur la gauche – Les Cressonières – à droite D26 – traverser D68 (lieu-dit La Délèche) – D13 (direction St Domineuc) – 4ème à droite D79 (direction Trimer) – Rollée – à gauche D79 – TRIMER – D79 – LA BAUSSAINE – D79 – CARDROC – à droite D220 – à droite D27 – à gauche D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à droite VC – La Cocheriais – à gauche au château d’eau – IRODOUËR – à gauche D72 – Tournebride – à droite D28 – MONTAUBAN
158;42;MONTAUBAN – D61 – MEDREAC – à droite D220 (direction Bécherel) – à gauche VC (direction Plouasne) – La Croix Frottin – PLOUASNE – D12 – D20 – ST PERN – D20 (direction Bécherel) – à droite D220 – traverser D71 et D70 – D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à droite VC – La Cocheriais – à gauche au château d’eau – IRODOUËR – à gauche D72 – Tournebride – à droite D28 – MONTAUBAN
161;84;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite D63 – TREFFENDEL – D63 – MAXENT – à gauche D38 (direction Baulon) – à droite D65 – CAMPEL – à gauche D44 – BOVEL – D44 – BAULON – D38 – LASSY – à gauche D62 – GOVEN – D62 – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
162;64;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite D63 – TREFFENDEL – D63 (direction Maxent) – 2ème à gauche D238 (direction St Thurial) – à gauche D69 – ST THURIAL – D36 – BREAL S/S MONTFORT – D62 – TALENSAC – D62 – MONTFORT/ MEU – D125 – D61 – MONTAUBAN
163;44;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à gauche D363 – à droite D35 – TALENSAC – D62 – MONTFORT/ MEU – D125 – D61 – MONTAUBAN
166;84;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - D62 - GOVEN - D62 - LASSY - D38 - BAULON - D44 - BOVEL - D44 - CAMPEL - à droite D65 (direction Maxent) - à gauche D38 - MAXENT - à droite D63 - TREFFENDEL - D63 -MONTERFIL - D63 - IFFENDIC - D61 – MONTAUBAN
167;64;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - D62 - BREAL S/S MONTFORT - D36 - ST THURIAL - à gauche D69 (direction Baulon) - à droite D238 (direction Plélan le Gd) - à droite D63 - TREFFENDEL - D63 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
168;44;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D62 - TALENSAC - à droite D35 (direction St Péran) - à gauche D363 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
171;87;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite, passer au-dessus 4 voies et aussitôt à gauche D712 – BROONS – D25 – SEVIGNAC – D25 – PLENEE JUGON – à gauche D59 – LANGOURLA – à gauche D46 – EREAC – D46 – LANRELAS – D46 – PLUMAUGAT – D19 – D125 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
172;69;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 (direction Plumaugat) – à droite, passer au-dessus 4 voies et aussitôt à gauche D712 – BROONS – D793 - EREAC – D46 – LANRELAS – D46 – PLUMAUGAT – D19 – D125 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
173;46;MONTAUBAN – La Brohinière – D28 (direction Le Crouais) – à droite D59 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 – à gauche D46 – PLUMAUGAT – D19 – D125 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
176;87;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE GD – D125 - D19 - PLUMAUGAT - D46 - LANRELAS - à droite D52 (direction Broons) - à gauche D46 - EREAC - D46 - LANGOURLA - à droite D59 - PLENEE JUGON - D25 - SEVIGNAC - D25 - BROONS - D712 - Recouvrance - ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - D28 - MONTAUBAN
177;69;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE GD – D125 - D19 - PLUMAUGAT - D46 - LANRELAS - à droite D52 (direction Broons) - à gauche D46 - EREAC - à droite D793 - BROONS - D712 - Recouvrance - ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - D28 - MONTAUBAN
178;46;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE GD – D125 - D19 - PLUMAUGAT - D46 (direction Caulnes) - à droite D712 - ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D59 (direction Le Crouais) - à gauche D28 - La Brohinière - D28 - MONTAUBAN
181;89;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D25 – LANGOUËT – D25 – VIGNOC – D637 – D25 – MONTREUIL LE GAST – D25 – ST GERMAIN/ILLE – à gauche après le bourg D91 – AUBIGNE – D91 – FEINS - à gauche et à droite après église D20 – DINGE – 2ème à gauche D82 (direction Guipel) – à droite D87 – BAZOUGES S/S HEDE – à droite après le bourg D87 – D795 – HEDE – D80 (direction St Gondran) – aussitôt à droite D221 – ST SYMPHORIEN - D221 – ST BRIEUC DES IFFS – à gauche D81 – LA CHLLE CHAUSSEE – VC (direction Romillé) – à droite VC (direction Irodouër) – D221 – IRODOUËR – D21 – LANDUJAN – D71 – MONTAUBAN
182;69;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D25 – LANGOUËT – D25 – VIGNOC – D637 – D25 – MONTREUIL LE GAST – D25 (direction St Germain / Ille) – à gauche D82 – GUIPEL – à gauche D221 – HEDE – D80 (direction St Gondran) – aussitôt à droite D221 – ST SYMPHORIEN - D 21 – ST BRIEUC DES IFFS – à gauche D81 – LA CHLLE CHAUSSEE – VC (direction Romillé) – à droite VC (direction Irodouër) – D221 – IRODOUËR – D21 – LANDUJAN – D71 – MONTAUBAN
183;51;MONTAUBAN – D28 – ROMILLE – D25 – LANGAN – D25 – LANGOUËT – D25 (direction Vignoc) – tout droit VC (direction Hédé) – à gauche D80 – ST GONDRAN – à droite D27 – LA CHLLE CHAUSSEE – à gauche VC (direction Romillé) – à droite VC (direction Irodouër) – D221 – IRODOUËR – D21 – LANDUJAN – D71 – MONTAUBAN
186;89;MONTAUBAN - D71 - LANDUJAN - D21 - IRODOUËR - D221 (direction Les Iffs) - à droite VC (direction Langan) - à gauche VC - LA CHLLE CHAUSSEE - D81 - ST BRIEUC DES IFFS - à droite D221 - ST SYMPHORIEN - D221 - à gauche D80 - HEDE - D87 - BAZOUGES S/S HEDE - D87 (direction Dingé) - à gauche D82 - DINGÉ - à droite D20 - FEINS - D91 - AUBIGNÉ - D91 - ST GERMAIN/ILLE - à droite D25 - MONTREUIL LE GAST - D25 - VIGNOC - D25 - LANGOUËT - D25 - LANGAN - D25 - ROMILLÉ - D28 - MONTAUBAN
187;69;MONTAUBAN - D71 - LANDUJAN - D21 - IRODOUËR - D221 (direction Les Iffs) - à droite VC (direction Langan) - à gauche VC - LA CHLLE CHAUSSEE - D81 - ST BRIEUC DES IFFS - à droite D221 - ST SYMPHORIEN - D221 - à gauche D80 - HEDE - D221 - GUIPEL - à droite D82 – à droite D25 – MONTREUIL LE GAST - D25 - VIGNOC - D25 - LANGOUËT - D25 - LANGAN - D25 - ROMILLÉ - D28 - MONTAUBAN
188;51;MONTAUBAN - D71 - LANDUJAN - D21 - IRODOUËR - D221 (direction Les Iffs) - à droite VC (direction Langan) - à gauche VC - LA CHLLE CHAUSSEE - à droite D27 (direction Gévezé) - à gauche D80 - ST GONDRAN – D80 (direction Hédé) - à droite VC (direction Langouët) - tout droit D25 - LANGOUËT - D25 - LANGAN - D25 - ROMILLÉ - D28 - MONTAUBAN
191;84;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – VC – ST ONEN LA CHLLE – VC – GAËL – D30 – D303 – ST BRIEUC DE MAURON – à gauche à l’entrée du bourg et 2ème à droite D134 – Le Bois de la Roche – à gauche et à droite D134 – NEANT/YVEL – à gauche dans le bourg puis la derniére à droite VC (direction Paimpont) – traverser D141 – Le Perthuis Néanti – à gauche Folle Pensée – à droite D141 – La Saudrais – à droite D141 – CONCORET – à droite D2 – D141 – Chau de Comper – D31 – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
